timea	dac1	dac2	dac3	dac3
11.82	-0.002455707	-0.001520374	0.000157697	-0.000777636
11.85	-0.002446681	-0.001531365	0.000155096	-0.000760221
11.88	-0.002386783	-0.001481198	0.000209493	-0.000696091
11.91	-0.002384661	-0.00149547	0.000203442	-0.00068575
11.94	-0.002325338	-0.001444313	0.000258794	-0.000622231
11.97	-0.002326479	-0.001458269	0.000253049	-0.000615161
12	-0.002383902	-0.001521875	0.000193522	-0.000668506
12.03	-0.002272732	-0.001425206	0.000298811	-0.000548715
12.06	-0.00232835	-0.001487889	0.000240372	-0.000600089
12.09	-0.00233097	-0.001506262	0.000230765	-0.000593943
12.12	-0.002277267	-0.001461442	0.000280131	-0.000535695
12.15	-0.00227636	-0.001478379	0.000272262	-0.000525719
12.18	-0.002224049	-0.001435757	0.000319554	-0.000468739
12.21	-0.002225863	-0.001456214	0.00030834	-0.000461308
12.24	-0.002172542	-0.00141267	0.000356609	-0.000403263
12.27	-0.00217446	-0.001432494	0.000346153	-0.000395812
12.3	-0.002227469	-0.001493598	0.000289676	-0.000444194
12.33	-0.00212646	-0.001409362	0.000383531	-0.000333568
12.36	-0.002178344	-0.001467919	0.000329673	-0.000380752
12.39	-0.002183398	-0.001485833	0.000321359	-0.000376205
12.42	-0.00213626	-0.001444686	0.000367435	-0.00032414
12.45	-0.002140457	-0.001458503	0.000363218	-0.000318736
12.48	-0.002095418	-0.001418211	0.000408186	-0.000269021
12.51	-0.002102247	-0.001434596	0.000400598	-0.000267053
12.54	-0.002055842	-0.001393665	0.000445824	-0.000216354
12.57	-0.002061566	-0.001411318	0.000436414	-0.000213834
12.6	-0.002112242	-0.001468223	0.00038348	-0.000260539
12.63	-0.002021827	-0.001392799	0.00046725	-0.000161778
12.66	-0.00207028	-0.001448617	0.00041553	-0.000206133
12.69	-0.002074537	-0.001468704	0.000404079	-0.000201754
12.72	-0.002031816	-0.001434292	0.000443063	-0.000154461
12.75	-0.002031494	-0.001449706	0.000437023	-0.000144765
12.78	-0.001991375	-0.00141739	0.000474255	-9.97E-05
12.81	-0.001987652	-0.00142782	0.000473836	-8.60E-05
12.84	-0.001948226	-0.001395126	0.00051161	-4.15E-05
