time ,thrust [N],mdot [kg]
0.4908137,52452.294,22.7830904063221
0.491647,52471.906,22.7916090417329
0.4924803,52501.324,22.8043869948492
0.4933136,52481.712,22.7958683594383
0.4941469,52413.07,22.7660531355004
0.4949802,52344.428,22.7362379115624
0.4958135,52315.01,22.7234599584461
0.4966468,52285.592,22.7106820053298
0.4974801,52246.368,22.6936447345081
0.4983134,52226.756,22.6851260990973
0.4991467,52226.756,22.6851260990973
0.49998,52265.98,22.702163369919
0.5008133,52344.428,22.7362379115624
0.5016466,52403.264,22.7617938177949
0.5024799,52471.906,22.7916090417329
0.5033132,52540.548,22.8214242656709
0.5041465,52540.548,22.8214242656709
0.5049798,52540.548,22.8214242656709
0.5058131,52550.354,22.8256835833763
0.5066464,52530.742,22.8171649479655
0.5074797,52501.324,22.8043869948492
0.508313,52432.682,22.7745717709112
0.5091463,52373.846,22.7490158646787
0.5099796,52315.01,22.7234599584461
0.5108129,52265.98,22.702163369919
0.5116462,52226.756,22.6851260990973
0.5124795,52236.562,22.6893854168027
0.5133128,52256.174,22.6979040522135
0.5141461,52305.204,22.7192006407407
0.5149794,52383.652,22.7532751823841
0.5158127,52432.682,22.7745717709112
0.516646,52491.518,22.8001276771438
0.5174793,52540.548,22.8214242656709
0.5183126,52599.384,22.8469801719034
0.5191459,52638.608,22.8640174427251
0.5199792,52579.772,22.8384615364926
0.5208125,52520.936,22.81290563026
0.5216458,52452.294,22.7830904063221
0.5224791,52393.458,22.7575345000895
0.5233124,52393.458,22.7575345000895
0.5241457,52354.234,22.7404972292678
0.524979,52295.398,22.7149413230353
0.5258123,52305.204,22.7192006407407
0.5266456,52324.816,22.7277192761515
0.5274789,52364.04,22.7447565469732
0.5283122,52413.07,22.7660531355004
0.5291455,52471.906,22.7916090417329
0.5299788,52501.324,22.8043869948492
0.5308121,52501.324,22.8043869948492
0.5316454,52511.13,22.8086463125546
0.5324787,52511.13,22.8086463125546
0.533312,52530.742,22.8171649479655
0.5341453,52501.324,22.8043869948492
0.5349786,52471.906,22.7916090417329
0.5358119,52481.712,22.7958683594383
0.5366452,52511.13,22.8086463125546
0.5374785,52530.742,22.8171649479655
0.5383118,52491.518,22.8001276771438
0.5391451,52442.488,22.7788310886166
0.5399784,52413.07,22.7660531355004
0.5408117,52373.846,22.7490158646787
0.541645,52344.428,22.7362379115624
0.5424783,52344.428,22.7362379115624
0.5433116,52334.622,22.731978593857
0.5441449,52315.01,22.7234599584461
0.5449782,52324.816,22.7277192761515
0.5458115,52383.652,22.7532751823841
0.5466448,52422.876,22.7703124532058
0.5474781,52452.294,22.7830904063221
0.5483114,52501.324,22.8043869948492
0.5491447,52589.578,22.842720854198
0.549978,52628.802,22.8597581250197
0.5508113,52618.996,22.8554988073143
0.5516446,52609.19,22.8512394896089
0.5524779,52589.578,22.842720854198
0.5533112,52550.354,22.8256835833763
0.5541445,52520.936,22.81290563026
0.5549778,52452.294,22.7830904063221
